Year,Month,Day,location,WindSpeed9am,Humidity9am,State
2009,9,16,Ballarat North,31,55,VIC
2009,9,17,Ballarat North,28,99,VIC
2009,9,18,Ballarat North,9,82,VIC
2009,9,19,Ballarat North,30,63,VIC
2009,9,20,Ballarat North,9,87,VIC
2009,9,21,Ballarat North,2,59,VIC
2009,9,22,Ballarat North,24,99,VIC
2009,9,23,Ballarat North,24,98,VIC
2009,9,24,Ballarat North,30,96,VIC
2009,9,25,Ballarat North,28,84,VIC
2009,9,26,Ballarat North,28,83,VIC
2009,9,27,Ballarat North,31,85,VIC
2009,9,28,Ballarat North,20,79,VIC
2009,9,29,Ballarat North,15,75,VIC
2009,9,30,Ballarat North,35,56,VIC
2009,10,1,Ballarat North,17,79,VIC
2009,10,2,Ballarat North,30,76,VIC
2009,10,3,Ballarat North,31,85,VIC
2009,10,4,Ballarat North,0,99,VIC
2009,10,5,Ballarat North,9,96,VIC
2009,10,6,Ballarat North,19,83,VIC
2009,10,7,Ballarat North,28,80,VIC
2009,10,8,Ballarat North,22,84,VIC
2009,10,9,Ballarat North,33,77,VIC
2009,10,10,Ballarat North,9,68,VIC
2009,10,11,Ballarat North,19,60,VIC
2009,10,12,Ballarat North,35,65,VIC
2009,10,13,Ballarat North,30,98,VIC
2009,10,14,Ballarat North,26,97,VIC
2009,10,15,Ballarat North,33,97,VIC
2009,10,16,Ballarat North,17,98,VIC
2009,10,17,Ballarat North,19,85,VIC
2009,10,18,Ballarat North,11,80,VIC
2009,10,19,Ballarat North,17,71,VIC
2009,10,20,Ballarat North,31,47,VIC
2009,10,21,Ballarat North,24,77,VIC
2009,10,22,Ballarat North,26,72,VIC
2009,10,23,Ballarat North,28,75,VIC
2009,10,24,Ballarat North,13,71,VIC
2009,10,25,Ballarat North,31,79,VIC
2009,10,26,Ballarat North,31,71,VIC
2009,10,27,Ballarat North,19,64,VIC
2009,10,28,Ballarat North,19,66,VIC
2009,10,29,Ballarat North,17,64,VIC
2009,10,30,Ballarat North,28,67,VIC
2009,10,31,Ballarat North,30,73,VIC
2009,11,1,Ballarat North,15,99,VIC
2009,11,2,Ballarat North,28,85,VIC
2009,11,3,Ballarat North,31,72,VIC
2009,11,4,Ballarat North,19,98,VIC
2009,11,5,Ballarat North,28,59,VIC
2009,11,6,Ballarat North,19,66,VIC
2009,11,7,Ballarat North,24,58,VIC
2009,11,8,Ballarat North,28,49,VIC
2009,11,9,Ballarat North,20,44,VIC
2009,11,10,Ballarat North,17,37,VIC
2009,11,11,Ballarat North,4,42,VIC
2009,11,12,Ballarat North,7,39,VIC
2009,11,13,Ballarat North,22,71,VIC
2009,11,14,Ballarat North,7,38,VIC
2009,11,15,Ballarat North,20,23,VIC
2009,11,16,Ballarat North,20,77,VIC
2009,11,17,Ballarat North,24,68,VIC
2009,11,18,Ballarat North,9,47,VIC
2009,11,19,Ballarat North,19,40,VIC
2009,11,20,Ballarat North,0,30,VIC
2009,11,21,Ballarat North,11,99,VIC
2009,11,22,Ballarat North,39,99,VIC
2009,11,23,Ballarat North,26,56,VIC
2009,11,24,Ballarat North,11,71,VIC
2009,11,25,Ballarat North,2,52,VIC
2009,11,26,Ballarat North,15,99,VIC
2009,11,27,Ballarat North,22,99,VIC
2009,11,28,Ballarat North,28,81,VIC
2009,11,29,Ballarat North,20,92,VIC
2009,11,30,Ballarat North,30,80,VIC
2009,12,1,Ballarat North,26,57,VIC
2009,12,2,Ballarat North,24,59,VIC
2009,12,3,Ballarat North,30,38,VIC
2009,12,4,Ballarat North,20,67,VIC
2009,12,5,Ballarat North,19,82,VIC
2009,12,6,Ballarat North,17,79,VIC
2009,12,7,Ballarat North,11,69,VIC
2009,12,8,Ballarat North,22,98,VIC
2009,12,9,Ballarat North,24,66,VIC
2009,12,10,Ballarat North,17,68,VIC
2009,12,11,Ballarat North,19,78,VIC
2009,12,12,Ballarat North,20,82,VIC
2009,12,13,Ballarat North,17,98,VIC
2009,12,14,Ballarat North,24,66,VIC
2009,12,15,Ballarat North,13,28,VIC
2009,12,16,Ballarat North,28,27,VIC
2009,12,17,Ballarat North,4,72,VIC
2009,12,18,Ballarat North,22,66,VIC
2009,12,19,Ballarat North,17,89,VIC
2009,12,20,Ballarat North,24,65,VIC
2009,12,21,Ballarat North,7,42,VIC
2009,12,22,Ballarat North,15,51,VIC
2009,12,23,Ballarat North,31,38,VIC
2009,12,24,Ballarat North,11,57,VIC
2009,12,25,Ballarat North,31,62,VIC
2009,12,26,Ballarat North,28,64,VIC
2009,12,27,Ballarat North,20,68,VIC
2009,12,28,Ballarat North,13,54,VIC
2009,12,29,Ballarat North,22,60,VIC
2009,12,30,Ballarat North,31,41,VIC
2009,12,31,Ballarat North,35,52,VIC
2010,1,1,Ballarat North,9,99,VIC
2010,1,2,Ballarat North,22,88,VIC
2010,1,3,Ballarat North,20,65,VIC
2010,1,4,Ballarat North,13,64,VIC
2010,1,5,Ballarat North,20,42,VIC
2010,1,6,Ballarat North,24,76,VIC
2010,1,7,Ballarat North,24,69,VIC
2010,1,8,Ballarat North,19,33,VIC
2010,1,9,Ballarat North,24,22,VIC
2010,1,10,Ballarat North,7,36,VIC
2010,1,11,Ballarat North,22,24,VIC
2010,1,12,Ballarat North,9,56,VIC
2010,1,13,Ballarat North,20,71,VIC
2010,1,14,Ballarat North,26,62,VIC
2010,1,15,Ballarat North,22,65,VIC
2010,1,16,Ballarat North,20,28,VIC
2010,1,17,Ballarat North,22,71,VIC
2010,1,18,Ballarat North,24,80,VIC
2010,1,19,Ballarat North,22,57,VIC
2010,1,20,Ballarat North,11,71,VIC
2010,1,21,Ballarat North,2,68,VIC
2010,1,22,Ballarat North,22,31,VIC
2010,1,23,Ballarat North,24,66,VIC
2010,1,24,Ballarat North,26,61,VIC
2010,1,25,Ballarat North,22,72,VIC
2010,1,26,Ballarat North,0,54,VIC
2010,1,27,Ballarat North,31,68,VIC
2010,1,28,Ballarat North,22,75,VIC
2010,1,29,Ballarat North,31,71,VIC
2010,1,30,Ballarat North,15,54,VIC
2010,1,31,Ballarat North,41,46,VIC
2010,2,1,Ballarat North,33,67,VIC
2010,2,2,Ballarat North,37,45,VIC
2010,2,3,Ballarat North,37,41,VIC
2010,2,4,Ballarat North,33,50,VIC
2010,2,5,Ballarat North,28,90,VIC
2010,2,6,Ballarat North,43,65,VIC
2010,2,7,Ballarat North,9,63,VIC
2010,2,8,Ballarat North,13,45,VIC
2010,2,9,Ballarat North,26,55,VIC
2010,2,10,Ballarat North,20,53,VIC
2010,2,11,Ballarat North,15,68,VIC
2010,2,12,Ballarat North,15,97,VIC
2010,2,13,Ballarat North,22,87,VIC
2010,2,14,Ballarat North,13,99,VIC
2010,2,15,Ballarat North,37,82,VIC
2010,2,16,Ballarat North,39,68,VIC
2010,2,17,Ballarat North,15,96,VIC
2010,2,18,Ballarat North,37,66,VIC
2010,2,19,Ballarat North,35,54,VIC
2010,2,20,Ballarat North,31,39,VIC
2010,2,21,Ballarat North,9,80,VIC
2010,2,22,Ballarat North,13,74,VIC
2010,2,23,Ballarat North,19,72,VIC
2010,2,24,Ballarat North,28,73,VIC
2010,2,25,Ballarat North,30,65,VIC
2010,2,26,Ballarat North,28,53,VIC
2010,2,27,Ballarat North,19,99,VIC
2010,2,28,Ballarat North,26,68,VIC
2010,3,1,Ballarat North,46,56,VIC
2010,3,2,Ballarat North,33,68,VIC
2010,3,3,Ballarat North,19,71,VIC
2010,3,4,Ballarat North,15,52,VIC
2010,3,5,Ballarat North,17,60,VIC
2010,3,6,Ballarat North,7,82,VIC
2010,3,7,Ballarat North,11,73,VIC
2010,3,8,Ballarat North,20,99,VIC
2010,3,9,Ballarat North,28,91,VIC
2010,3,10,Ballarat North,19,69,VIC
2010,3,11,Ballarat North,28,77,VIC
2010,3,12,Ballarat North,15,69,VIC
2010,3,13,Ballarat North,19,67,VIC
2010,3,14,Ballarat North,0,64,VIC
2010,3,15,Ballarat North,15,58,VIC
2010,3,16,Ballarat North,22,47,VIC
2010,3,17,Ballarat North,22,48,VIC
2010,3,18,Ballarat North,22,49,VIC
2010,3,19,Ballarat North,6,77,VIC
2010,3,20,Ballarat North,9,97,VIC
2010,3,21,Ballarat North,15,69,VIC
2010,3,22,Ballarat North,13,77,VIC
2010,3,23,Ballarat North,19,77,VIC
2010,3,24,Ballarat North,13,99,VIC
2010,3,25,Ballarat North,13,81,VIC
2010,3,26,Ballarat North,9,55,VIC
2010,3,28,Ballarat North,20,63,VIC
2010,3,29,Ballarat North,15,99,VIC
2010,3,30,Ballarat North,17,99,VIC
2010,3,31,Ballarat North,28,82,VIC
2010,4,1,Ballarat North,13,99,VIC
2010,4,2,Ballarat North,17,93,VIC
2010,4,3,Ballarat North,17,98,VIC
2010,4,4,Ballarat North,7,69,VIC
2010,4,5,Ballarat North,28,56,VIC
2010,4,6,Ballarat North,17,56,VIC
2010,4,7,Ballarat North,17,99,VIC
2010,4,8,Ballarat North,19,96,VIC
2010,4,9,Ballarat North,6,96,VIC
2010,4,10,Ballarat North,17,100,VIC
2010,4,11,Ballarat North,48,70,VIC
2010,4,12,Ballarat North,20,87,VIC
2010,4,13,Ballarat North,22,72,VIC
2010,4,14,Ballarat North,15,88,VIC
2010,4,15,Ballarat North,20,98,VIC
2010,4,16,Ballarat North,15,75,VIC
2010,4,17,Ballarat North,13,74,VIC
2010,4,18,Ballarat North,20,57,VIC
2010,4,19,Ballarat North,19,59,VIC
2010,4,20,Ballarat North,19,68,VIC
2010,4,21,Ballarat North,11,79,VIC
2010,4,22,Ballarat North,19,69,VIC
2010,4,23,Ballarat North,26,58,VIC
2010,4,24,Ballarat North,20,90,VIC
2010,4,25,Ballarat North,15,98,VIC
2010,4,26,Ballarat North,20,98,VIC
2010,4,27,Ballarat North,9,76,VIC
2010,4,28,Ballarat North,30,92,VIC
2010,4,29,Ballarat North,22,99,VIC
2010,4,30,Ballarat North,13,98,VIC
2010,5,1,Ballarat North,26,99,VIC
2010,5,2,Ballarat North,2,81,VIC
2010,5,3,Ballarat North,2,76,VIC
2010,5,4,Ballarat North,35,58,VIC
2010,5,5,Ballarat North,17,98,VIC
2010,5,6,Ballarat North,15,98,VIC
2010,5,7,Ballarat North,24,99,VIC
2010,5,8,Ballarat North,7,85,VIC
2010,5,9,Ballarat North,22,99,VIC
2010,5,10,Ballarat North,30,86,VIC
2010,5,11,Ballarat North,20,95,VIC
2010,5,12,Ballarat North,9,99,VIC
2010,5,13,Ballarat North,13,100,VIC
2010,5,14,Ballarat North,11,99,VIC
2010,5,15,Ballarat North,9,98,VIC
2010,5,16,Ballarat North,0,99,VIC
2010,5,17,Ballarat North,2,99,VIC
2010,5,18,Ballarat North,0,98,VIC
2010,5,19,Ballarat North,0,98,VIC
2010,5,20,Ballarat North,6,91,VIC
2010,5,21,Ballarat North,15,92,VIC
2010,5,22,Ballarat North,ESE,20,VIC
2010,5,23,Ballarat North,NNE,28,VIC
2010,5,24,Ballarat North,24,60,VIC
2010,5,25,Ballarat North,17,98,VIC
2010,5,26,Ballarat North,13,99,VIC
2010,5,27,Ballarat North,17,99,VIC
2010,5,28,Ballarat North,13,96,VIC
2010,5,29,Ballarat North,11,99,VIC
2010,5,30,Ballarat North,28,99,VIC
2010,5,31,Ballarat North,26,84,VIC
2010,6,1,Ballarat North,2,98,VIC
2010,6,2,Ballarat North,4,99,VIC
2010,6,3,Ballarat North,9,99,VIC
2010,6,4,Ballarat North,S,17,VIC
2010,6,5,Ballarat North,0,99,VIC
2010,6,6,Ballarat North,15,99,VIC
2010,6,7,Ballarat North,7,99,VIC
2010,6,8,Ballarat North,15,99,VIC
2010,6,9,Ballarat North,24,98,VIC
2010,6,10,Ballarat North,7,99,VIC
2010,6,11,Ballarat North,19,99,VIC
2010,6,12,Ballarat North,7,99,VIC
2010,6,13,Ballarat North,11,73,VIC
2010,6,14,Ballarat North,9,82,VIC
2010,6,15,Ballarat North,7,83,VIC
2010,6,16,Ballarat North,N,33,VIC
2010,6,17,Ballarat North,22,98,VIC
2010,6,18,Ballarat North,24,99,VIC
2010,6,19,Ballarat North,13,99,VIC
2010,6,20,Ballarat North,15,99,VIC
2010,6,21,Ballarat North,WSW,11,VIC
2010,6,22,Ballarat North,ENE,19,VIC
2010,6,23,Ballarat North,26,84,VIC
2010,6,24,Ballarat North,26,91,VIC
2010,6,25,Ballarat North,28,100,VIC
2010,6,26,Ballarat North,13,99,VIC
2010,6,27,Ballarat North,W,11,VIC
2010,6,28,Ballarat North,N,41,VIC
2010,6,29,Ballarat North,30,99,VIC
2010,6,30,Ballarat North,17,99,VIC
2010,7,1,Ballarat North,17,99,VIC
2010,7,2,Ballarat North,19,100,VIC
2010,7,3,Ballarat North,11,98,VIC
2010,7,4,Ballarat North,4,100,VIC
2010,7,5,Ballarat North,4,98,VIC
2010,7,6,Ballarat North,W,17,VIC
2010,7,7,Ballarat North,SSE,13,VIC
2010,7,8,Ballarat North,0,91,VIC
2010,7,9,Ballarat North,NNE,24,VIC
2010,7,10,Ballarat North,44,81,VIC
2010,7,11,Ballarat North,22,100,VIC
2010,7,12,Ballarat North,20,100,VIC
2010,7,13,Ballarat North,28,79,VIC
2010,7,14,Ballarat North,30,99,VIC
2010,7,15,Ballarat North,13,100,VIC
2010,7,16,Ballarat North,0,92,VIC
2010,7,17,Ballarat North,17,99,VIC
2010,7,18,Ballarat North,30,98,VIC
2010,7,19,Ballarat North,0,100,VIC
2010,7,20,Ballarat North,WSW,9,VIC
2010,7,21,Ballarat North,0,100,VIC
2010,7,22,Ballarat North,7,100,VIC
2010,7,23,Ballarat North,15,98,VIC
2010,7,24,Ballarat North,9,80,VIC
2010,7,25,Ballarat North,SW,11,VIC
2010,7,26,Ballarat North,2,100,VIC
2010,7,27,Ballarat North,ESE,19,VIC
2010,7,28,Ballarat North,15,77,VIC
2010,7,29,Ballarat North,19,100,VIC
2010,7,30,Ballarat North,20,100,VIC
2010,7,31,Ballarat North,22,98,VIC
2010,8,1,Ballarat North,19,98,VIC
2010,8,2,Ballarat North,28,99,VIC
2010,8,3,Ballarat North,7,84,VIC
2010,8,4,Ballarat North,22,99,VIC
2010,8,5,Ballarat North,SW,22,VIC
2010,8,6,Ballarat North,11,99,VIC
2010,8,7,Ballarat North,13,92,VIC
2010,8,8,Ballarat North,26,81,VIC
2010,8,9,Ballarat North,20,74,VIC
2010,8,10,Ballarat North,24,98,VIC
2010,8,11,Ballarat North,11,99,VIC
2010,8,12,Ballarat North,31,98,VIC
2010,8,13,Ballarat North,9,99,VIC
2010,8,14,Ballarat North,35,88,VIC
2010,8,15,Ballarat North,28,99,VIC
2010,8,16,Ballarat North,22,94,VIC
2010,8,17,Ballarat North,NNE,19,VIC
2010,8,18,Ballarat North,43,85,VIC
2010,8,19,Ballarat North,26,76,VIC
2010,8,20,Ballarat North,26,84,VIC
2010,8,21,Ballarat North,20,99,VIC
2010,8,22,Ballarat North,24,99,VIC
2010,8,23,Ballarat North,28,77,VIC
2010,8,24,Ballarat North,30,98,VIC
2010,8,25,Ballarat North,NNW,39,VIC
