Day,Month,Year,Humidity,State,Suburb,location,Windspeed,Date Time
13,3,2009,100.0,VIC,Ballarat,Ballarat North,11,2009-03-13
14,3,2009,97.0,VIC,Ballarat,Ballarat North,33,2009-03-14
15,3,2009,87.0,VIC,Ballarat,Ballarat North,26,2009-03-15
16,3,2009,99.0,VIC,Ballarat,Ballarat North,24,2009-03-16
17,3,2009,98.0,VIC,Ballarat,Ballarat North,22,2009-03-17
18,3,2009,80.0,VIC,Ballarat,Ballarat North,7,2009-03-18
19,3,2009,37.0,VIC,Ballarat,Ballarat North,17,2009-03-19
20,3,2009,73.0,VIC,Ballarat,Ballarat North,4,2009-03-20
21,3,2009,30.0,VIC,Ballarat,Ballarat North,22,2009-03-21
22,3,2009,91.0,VIC,Ballarat,Ballarat North,15,2009-03-22
23,3,2009,92.0,VIC,Ballarat,Ballarat North,19,2009-03-23
24,3,2009,78.0,VIC,Ballarat,Ballarat North,13,2009-03-24
25,3,2009,100.0,VIC,Ballarat,Ballarat North,6,2009-03-25
26,3,2009,92.0,VIC,Ballarat,Ballarat North,0,2009-03-26
27,3,2009,92.0,VIC,Ballarat,Ballarat North,13,2009-03-27
28,3,2009,99.0,VIC,Ballarat,Ballarat North,4,2009-03-28
29,3,2009,58.0,VIC,Ballarat,Ballarat North,6,2009-03-29
30,3,2009,81.0,VIC,Ballarat,Ballarat North,33,2009-03-30
31,3,2009,64.0,VIC,Ballarat,Ballarat North,22,2009-03-31
1,4,2009,53.0,VIC,Ballarat,Ballarat North,19,2009-04-01
2,4,2009,60.0,VIC,Ballarat,Ballarat North,20,2009-04-02
3,4,2009,77.0,VIC,Ballarat,Ballarat North,20,2009-04-03
4,4,2009,95.0,VIC,Ballarat,Ballarat North,9,2009-04-04
5,4,2009,81.0,VIC,Ballarat,Ballarat North,20,2009-04-05
6,4,2009,81.0,VIC,Ballarat,Ballarat North,19,2009-04-06
7,4,2009,93.0,VIC,Ballarat,Ballarat North,22,2009-04-07
8,4,2009,90.0,VIC,Ballarat,Ballarat North,20,2009-04-08
9,4,2009,77.0,VIC,Ballarat,Ballarat North,0,2009-04-09
10,4,2009,79.0,VIC,Ballarat,Ballarat North,7,2009-04-10
11,4,2009,89.0,VIC,Ballarat,Ballarat North,15,2009-04-11
12,4,2009,80.0,VIC,Ballarat,Ballarat North,6,2009-04-12
13,4,2009,52.0,VIC,Ballarat,Ballarat North,11,2009-04-13
14,4,2009,48.0,VIC,Ballarat,Ballarat North,26,2009-04-14
15,4,2009,74.0,VIC,Ballarat,Ballarat North,41,2009-04-15
16,4,2009,75.0,VIC,Ballarat,Ballarat North,28,2009-04-16
17,4,2009,87.0,VIC,Ballarat,Ballarat North,9,2009-04-17
18,4,2009,93.0,VIC,Ballarat,Ballarat North,9,2009-04-18
19,4,2009,81.0,VIC,Ballarat,Ballarat North,28,2009-04-19
20,4,2009,80.0,VIC,Ballarat,Ballarat North,11,2009-04-20
21,4,2009,55.0,VIC,Ballarat,Ballarat North,22,2009-04-21
22,4,2009,57.0,VIC,Ballarat,Ballarat North,13,2009-04-22
23,4,2009,62.0,VIC,Ballarat,Ballarat North,35,2009-04-23
24,4,2009,99.0,VIC,Ballarat,Ballarat North,37,2009-04-24
25,4,2009,100.0,VIC,Ballarat,Ballarat North,24,2009-04-25
26,4,2009,77.0,VIC,Ballarat,Ballarat North,35,2009-04-26
27,4,2009,99.0,VIC,Ballarat,Ballarat North,20,2009-04-27
28,4,2009,92.0,VIC,Ballarat,Ballarat North,11,2009-04-28
29,4,2009,93.0,VIC,Ballarat,Ballarat North,7,2009-04-29
30,4,2009,99.0,VIC,Ballarat,Ballarat North,6,2009-04-30
1,5,2009,69.0,VIC,Ballarat,Ballarat North,22,2009-05-01
2,5,2009,99.0,VIC,Ballarat,Ballarat North,0,2009-05-02
3,5,2009,100.0,VIC,Ballarat,Ballarat North,0,2009-05-03
4,5,2009,97.0,VIC,Ballarat,Ballarat North,13,2009-05-04
5,5,2009,78.0,VIC,Ballarat,Ballarat North,7,2009-05-05
6,5,2009,82.0,VIC,Ballarat,Ballarat North,19,2009-05-06
7,5,2009,100.0,VIC,Ballarat,Ballarat North,13,2009-05-07
8,5,2009,100.0,VIC,Ballarat,Ballarat North,20,2009-05-08
9,5,2009,99.0,VIC,Ballarat,Ballarat North,22,2009-05-09
10,5,2009,77.0,VIC,Ballarat,Ballarat North,26,2009-05-10
11,5,2009,96.0,VIC,Ballarat,Ballarat North,0,2009-05-11
12,5,2009,70.0,VIC,Ballarat,Ballarat North,9,2009-05-12
13,5,2009,92.0,VIC,Ballarat,Ballarat North,13,2009-05-13
14,5,2009,92.0,VIC,Ballarat,Ballarat North,19,2009-05-14
15,5,2009,97.0,VIC,Ballarat,Ballarat North,26,2009-05-15
16,5,2009,88.0,VIC,Ballarat,Ballarat North,24,2009-05-16
17,5,2009,99.0,VIC,Ballarat,Ballarat North,15,2009-05-17
18,5,2009,91.0,VIC,Ballarat,Ballarat North,17,2009-05-18
19,5,2009,67.0,VIC,Ballarat,Ballarat North,26,2009-05-19
20,5,2009,72.0,VIC,Ballarat,Ballarat North,17,2009-05-20
21,5,2009,76.0,VIC,Ballarat,Ballarat North,11,2009-05-21
22,5,2009,75.0,VIC,Ballarat,Ballarat North,11,2009-05-22
23,5,2009,60.0,VIC,Ballarat,Ballarat North,30,2009-05-23
24,5,2009,68.0,VIC,Ballarat,Ballarat North,33,2009-05-24
25,5,2009,70.0,VIC,Ballarat,Ballarat North,31,2009-05-25
26,5,2009,86.0,VIC,Ballarat,Ballarat North,4,2009-05-26
27,5,2009,69.0,VIC,Ballarat,Ballarat North,7,2009-05-27
28,5,2009,93.0,VIC,Ballarat,Ballarat North,17,2009-05-28
29,5,2009,89.0,VIC,Ballarat,Ballarat North,13,2009-05-29
30,5,2009,98.0,VIC,Ballarat,Ballarat North,22,2009-05-30
31,5,2009,79.0,VIC,Ballarat,Ballarat North,9,2009-05-31
1,6,2009,80.0,VIC,Ballarat,Ballarat North,22,2009-06-01
2,6,2009,90.0,VIC,Ballarat,Ballarat North,11,2009-06-02
3,6,2009,94.0,VIC,Ballarat,Ballarat North,17,2009-06-03
4,6,2009,66.0,VIC,Ballarat,Ballarat North,17,2009-06-04
5,6,2009,80.0,VIC,Ballarat,Ballarat North,0,2009-06-05
6,6,2009,91.0,VIC,Ballarat,Ballarat North,11,2009-06-06
7,6,2009,100.0,VIC,Ballarat,Ballarat North,11,2009-06-07
8,6,2009,99.0,VIC,Ballarat,Ballarat North,17,2009-06-08
9,6,2009,99.0,VIC,Ballarat,Ballarat North,20,2009-06-09
10,6,2009,85.0,VIC,Ballarat,Ballarat North,15,2009-06-10
11,6,2009,99.0,VIC,Ballarat,Ballarat North,9,2009-06-11
12,6,2009,89.0,VIC,Ballarat,Ballarat North,31,2009-06-12
13,6,2009,82.0,VIC,Ballarat,Ballarat North,31,2009-06-13
14,6,2009,82.0,VIC,Ballarat,Ballarat North,17,2009-06-14
15,6,2009,94.0,VIC,Ballarat,Ballarat North,13,2009-06-15
16,6,2009,100.0,VIC,Ballarat,Ballarat North,20,2009-06-16
17,6,2009,100.0,VIC,Ballarat,Ballarat North,11,2009-06-17
18,6,2009,99.0,VIC,Ballarat,Ballarat North,12,2009-06-18
19,6,2009,100.0,VIC,Ballarat,Ballarat North,6,2009-06-19
20,6,2009,77.0,VIC,Ballarat,Ballarat North,31,2009-06-20
21,6,2009,100.0,VIC,Ballarat,Ballarat North,6,2009-06-21
22,6,2009,100.0,VIC,Ballarat,Ballarat North,24,2009-06-22
23,6,2009,81.0,VIC,Ballarat,Ballarat North,26,2009-06-23
24,6,2009,100.0,VIC,Ballarat,Ballarat North,15,2009-06-24
25,6,2009,100.0,VIC,Ballarat,Ballarat North,9,2009-06-25
26,6,2009,49.0,VIC,Ballarat,Ballarat North,15,2009-06-26
27,6,2009,98.0,VIC,Ballarat,Ballarat North,0,2009-06-27
28,6,2009,92.0,VIC,Ballarat,Ballarat North,3,2009-06-28
29,6,2009,99.0,VIC,Ballarat,Ballarat North,22,2009-06-29
30,6,2009,83.0,VIC,Ballarat,Ballarat North,37,2009-06-30
1,7,2009,91.0,VIC,Ballarat,Ballarat North,30,2009-07-01
2,7,2009,95.0,VIC,Ballarat,Ballarat North,24,2009-07-02
3,7,2009,98.0,VIC,Ballarat,Ballarat North,17,2009-07-03
4,7,2009,97.0,VIC,Ballarat,Ballarat North,19,2009-07-04
5,7,2009,79.0,VIC,Ballarat,Ballarat North,17,2009-07-05
6,7,2009,98.0,VIC,Ballarat,Ballarat North,13,2009-07-06
7,7,2009,84.0,VIC,Ballarat,Ballarat North,6,2009-07-07
8,7,2009,68.0,VIC,Ballarat,Ballarat North,0,2009-07-08
9,7,2009,74.0,VIC,Ballarat,Ballarat North,24,2009-07-09
10,7,2009,77.0,VIC,Ballarat,Ballarat North,28,2009-07-10
11,7,2009,82.0,VIC,Ballarat,Ballarat North,50,2009-07-11
12,7,2009,98.0,VIC,Ballarat,Ballarat North,24,2009-07-12
13,7,2009,98.0,VIC,Ballarat,Ballarat North,17,2009-07-13
14,7,2009,99.0,VIC,Ballarat,Ballarat North,17,2009-07-14
15,7,2009,98.0,VIC,Ballarat,Ballarat North,11,2009-07-15
16,7,2009,98.0,VIC,Ballarat,Ballarat North,0,2009-07-16
17,7,2009,99.0,VIC,Ballarat,Ballarat North,8,2009-07-17
18,7,2009,94.0,VIC,Ballarat,Ballarat North,20,2009-07-18
19,7,2009,98.0,VIC,Ballarat,Ballarat North,24,2009-07-19
20,7,2009,75.0,VIC,Ballarat,Ballarat North,35,2009-07-20
21,7,2009,51.0,VIC,Ballarat,Ballarat North,26,2009-07-21
22,7,2009,90.0,VIC,Ballarat,Ballarat North,19,2009-07-22
23,7,2009,98.0,VIC,Ballarat,Ballarat North,13,2009-07-23
24,7,2009,94.0,VIC,Ballarat,Ballarat North,4,2009-07-24
25,7,2009,65.0,VIC,Ballarat,Ballarat North,30,2009-07-25
26,7,2009,67.0,VIC,Ballarat,Ballarat North,24,2009-07-26
27,7,2009,98.0,VIC,Ballarat,Ballarat North,17,2009-07-27
28,7,2009,98.0,VIC,Ballarat,Ballarat North,15,2009-07-28
29,7,2009,99.0,VIC,Ballarat,Ballarat North,13,2009-07-29
30,7,2009,99.0,VIC,Ballarat,Ballarat North,17,2009-07-30
31,7,2009,99.0,VIC,Ballarat,Ballarat North,19,2009-07-31
1,8,2009,98.0,VIC,Ballarat,Ballarat North,20,2009-08-01
2,8,2009,98.0,VIC,Ballarat,Ballarat North,28,2009-08-02
3,8,2009,80.0,VIC,Ballarat,Ballarat North,4,2009-08-03
4,8,2009,80.0,VIC,Ballarat,Ballarat North,24,2009-08-04
5,8,2009,98.0,VIC,Ballarat,Ballarat North,19,2009-08-05
6,8,2009,74.0,VIC,Ballarat,Ballarat North,35,2009-08-06
7,8,2009,84.0,VIC,Ballarat,Ballarat North,30,2009-08-07
8,8,2009,81.0,VIC,Ballarat,Ballarat North,13,2009-08-08
9,8,2009,61.0,VIC,Ballarat,Ballarat North,22,2009-08-09
10,8,2009,86.0,VIC,Ballarat,Ballarat North,22,2009-08-10
11,8,2009,77.0,VIC,Ballarat,Ballarat North,26,2009-08-11
12,8,2009,99.0,VIC,Ballarat,Ballarat North,0,2009-08-12
13,8,2009,92.0,VIC,Ballarat,Ballarat North,7,2009-08-13
14,8,2009,99.0,VIC,Ballarat,Ballarat North,17,2009-08-14
15,8,2009,80.0,VIC,Ballarat,Ballarat North,31,2009-08-15
16,8,2009,72.0,VIC,Ballarat,Ballarat North,46,2009-08-16
17,8,2009,75.0,VIC,Ballarat,Ballarat North,26,2009-08-17
18,8,2009,99.0,VIC,Ballarat,Ballarat North,13,2009-08-18
19,8,2009,73.0,VIC,Ballarat,Ballarat North,26,2009-08-19
20,8,2009,81.0,VIC,Ballarat,Ballarat North,20,2009-08-20
21,8,2009,76.0,VIC,Ballarat,Ballarat North,33,2009-08-21
22,8,2009,89.0,VIC,Ballarat,Ballarat North,12,2009-08-22
23,8,2009,99.0,VIC,Ballarat,Ballarat North,35,2009-08-23
24,8,2009,84.0,VIC,Ballarat,Ballarat North,26,2009-08-24
25,8,2009,87.0,VIC,Ballarat,Ballarat North,28,2009-08-25
26,8,2009,88.0,VIC,Ballarat,Ballarat North,31,2009-08-26
27,8,2009,91.0,VIC,Ballarat,Ballarat North,37,2009-08-27
28,8,2009,99.0,VIC,Ballarat,Ballarat North,20,2009-08-28
29,8,2009,99.0,VIC,Ballarat,Ballarat North,33,2009-08-29
30,8,2009,79.0,VIC,Ballarat,Ballarat North,24,2009-08-30
31,8,2009,93.0,VIC,Ballarat,Ballarat North,26,2009-08-31
1,9,2009,73.0,VIC,Ballarat,Ballarat North,20,2009-09-01
2,9,2009,70.0,VIC,Ballarat,Ballarat North,35,2009-09-02
3,9,2009,67.0,VIC,Ballarat,Ballarat North,31,2009-09-03
4,9,2009,99.0,VIC,Ballarat,Ballarat North,28,2009-09-04
5,9,2009,99.0,VIC,Ballarat,Ballarat North,24,2009-09-05
6,9,2009,69.0,VIC,Ballarat,Ballarat North,30,2009-09-06
7,9,2009,88.0,VIC,Ballarat,Ballarat North,22,2009-09-07
8,9,2009,96.0,VIC,Ballarat,Ballarat North,22,2009-09-08
9,9,2009,82.0,VIC,Ballarat,Ballarat North,19,2009-09-09
10,9,2009,72.0,VIC,Ballarat,Ballarat North,13,2009-09-10
11,9,2009,66.0,VIC,Ballarat,Ballarat North,39,2009-09-11
12,9,2009,63.0,VIC,Ballarat,Ballarat North,22,2009-09-12
13,9,2009,82.0,VIC,Ballarat,Ballarat North,7,2009-09-13
14,9,2009,73.0,VIC,Ballarat,Ballarat North,12,2009-09-14
15,9,2009,66.0,VIC,Ballarat,Ballarat North,15,2009-09-15
16,9,2009,55.0,VIC,Ballarat,Ballarat North,31,2009-09-16
17,9,2009,99.0,VIC,Ballarat,Ballarat North,28,2009-09-17
18,9,2009,82.0,VIC,Ballarat,Ballarat North,9,2009-09-18
19,9,2009,63.0,VIC,Ballarat,Ballarat North,30,2009-09-19
20,9,2009,87.0,VIC,Ballarat,Ballarat North,9,2009-09-20
21,9,2009,59.0,VIC,Ballarat,Ballarat North,2,2009-09-21
22,9,2009,99.0,VIC,Ballarat,Ballarat North,24,2009-09-22
23,9,2009,98.0,VIC,Ballarat,Ballarat North,24,2009-09-23
24,9,2009,96.0,VIC,Ballarat,Ballarat North,30,2009-09-24
25,9,2009,84.0,VIC,Ballarat,Ballarat North,28,2009-09-25
26,9,2009,83.0,VIC,Ballarat,Ballarat North,28,2009-09-26
27,9,2009,85.0,VIC,Ballarat,Ballarat North,31,2009-09-27
28,9,2009,79.0,VIC,Ballarat,Ballarat North,20,2009-09-28
29,9,2009,75.0,VIC,Ballarat,Ballarat North,15,2009-09-29
30,9,2009,56.0,VIC,Ballarat,Ballarat North,35,2009-09-30
1,10,2009,79.0,VIC,Ballarat,Ballarat North,17,2009-10-01
2,10,2009,76.0,VIC,Ballarat,Ballarat North,30,2009-10-02
3,10,2009,85.0,VIC,Ballarat,Ballarat North,31,2009-10-03
4,10,2009,99.0,VIC,Ballarat,Ballarat North,0,2009-10-04
5,10,2009,96.0,VIC,Ballarat,Ballarat North,9,2009-10-05
6,10,2009,83.0,VIC,Ballarat,Ballarat North,19,2009-10-06
7,10,2009,80.0,VIC,Ballarat,Ballarat North,28,2009-10-07
8,10,2009,84.0,VIC,Ballarat,Ballarat North,22,2009-10-08
9,10,2009,77.0,VIC,Ballarat,Ballarat North,33,2009-10-09
10,10,2009,68.0,VIC,Ballarat,Ballarat North,9,2009-10-10
11,10,2009,60.0,VIC,Ballarat,Ballarat North,19,2009-10-11
12,10,2009,65.0,VIC,Ballarat,Ballarat North,35,2009-10-12
13,10,2009,98.0,VIC,Ballarat,Ballarat North,30,2009-10-13
14,10,2009,97.0,VIC,Ballarat,Ballarat North,26,2009-10-14
15,10,2009,97.0,VIC,Ballarat,Ballarat North,33,2009-10-15
16,10,2009,98.0,VIC,Ballarat,Ballarat North,17,2009-10-16
17,10,2009,85.0,VIC,Ballarat,Ballarat North,19,2009-10-17
18,10,2009,80.0,VIC,Ballarat,Ballarat North,11,2009-10-18
19,10,2009,71.0,VIC,Ballarat,Ballarat North,17,2009-10-19
20,10,2009,47.0,VIC,Ballarat,Ballarat North,31,2009-10-20
21,10,2009,77.0,VIC,Ballarat,Ballarat North,24,2009-10-21
22,10,2009,72.0,VIC,Ballarat,Ballarat North,26,2009-10-22
23,10,2009,75.0,VIC,Ballarat,Ballarat North,28,2009-10-23
24,10,2009,71.0,VIC,Ballarat,Ballarat North,13,2009-10-24
25,10,2009,79.0,VIC,Ballarat,Ballarat North,31,2009-10-25
26,10,2009,71.0,VIC,Ballarat,Ballarat North,31,2009-10-26
27,10,2009,64.0,VIC,Ballarat,Ballarat North,19,2009-10-27
28,10,2009,66.0,VIC,Ballarat,Ballarat North,19,2009-10-28
29,10,2009,64.0,VIC,Ballarat,Ballarat North,17,2009-10-29
30,10,2009,67.0,VIC,Ballarat,Ballarat North,28,2009-10-30
31,10,2009,73.0,VIC,Ballarat,Ballarat North,30,2009-10-31
1,11,2009,99.0,VIC,Ballarat,Ballarat North,15,2009-11-01
2,11,2009,85.0,VIC,Ballarat,Ballarat North,28,2009-11-02
3,11,2009,72.0,VIC,Ballarat,Ballarat North,31,2009-11-03
4,11,2009,98.0,VIC,Ballarat,Ballarat North,19,2009-11-04
5,11,2009,59.0,VIC,Ballarat,Ballarat North,28,2009-11-05
6,11,2009,66.0,VIC,Ballarat,Ballarat North,19,2009-11-06
7,11,2009,58.0,VIC,Ballarat,Ballarat North,24,2009-11-07
8,11,2009,49.0,VIC,Ballarat,Ballarat North,28,2009-11-08
9,11,2009,44.0,VIC,Ballarat,Ballarat North,20,2009-11-09
10,11,2009,37.0,VIC,Ballarat,Ballarat North,17,2009-11-10
11,11,2009,42.0,VIC,Ballarat,Ballarat North,4,2009-11-11
12,11,2009,39.0,VIC,Ballarat,Ballarat North,7,2009-11-12
13,11,2009,71.0,VIC,Ballarat,Ballarat North,22,2009-11-13
14,11,2009,38.0,VIC,Ballarat,Ballarat North,7,2009-11-14
15,11,2009,23.0,VIC,Ballarat,Ballarat North,20,2009-11-15
16,11,2009,77.0,VIC,Ballarat,Ballarat North,20,2009-11-16
17,11,2009,68.0,VIC,Ballarat,Ballarat North,24,2009-11-17
18,11,2009,47.0,VIC,Ballarat,Ballarat North,9,2009-11-18
19,11,2009,40.0,VIC,Ballarat,Ballarat North,19,2009-11-19
20,11,2009,30.0,VIC,Ballarat,Ballarat North,0,2009-11-20
21,11,2009,99.0,VIC,Ballarat,Ballarat North,11,2009-11-21
22,11,2009,99.0,VIC,Ballarat,Ballarat North,39,2009-11-22
23,11,2009,56.0,VIC,Ballarat,Ballarat North,26,2009-11-23
24,11,2009,71.0,VIC,Ballarat,Ballarat North,11,2009-11-24
25,11,2009,52.0,VIC,Ballarat,Ballarat North,2,2009-11-25
26,11,2009,99.0,VIC,Ballarat,Ballarat North,15,2009-11-26
27,11,2009,99.0,VIC,Ballarat,Ballarat North,22,2009-11-27
28,11,2009,81.0,VIC,Ballarat,Ballarat North,28,2009-11-28
29,11,2009,92.0,VIC,Ballarat,Ballarat North,20,2009-11-29
30,11,2009,80.0,VIC,Ballarat,Ballarat North,30,2009-11-30
1,12,2009,57.0,VIC,Ballarat,Ballarat North,26,2009-12-01
2,12,2009,59.0,VIC,Ballarat,Ballarat North,24,2009-12-02
3,12,2009,38.0,VIC,Ballarat,Ballarat North,30,2009-12-03
4,12,2009,67.0,VIC,Ballarat,Ballarat North,20,2009-12-04
5,12,2009,82.0,VIC,Ballarat,Ballarat North,19,2009-12-05
6,12,2009,79.0,VIC,Ballarat,Ballarat North,17,2009-12-06
7,12,2009,69.0,VIC,Ballarat,Ballarat North,11,2009-12-07
8,12,2009,98.0,VIC,Ballarat,Ballarat North,22,2009-12-08
9,12,2009,66.0,VIC,Ballarat,Ballarat North,24,2009-12-09
10,12,2009,68.0,VIC,Ballarat,Ballarat North,17,2009-12-10
11,12,2009,78.0,VIC,Ballarat,Ballarat North,19,2009-12-11
